year,month,day,creators,cityFrom,coordinatesFrom,regionFrom,coutryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,problems
1647,6,15,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Herbert, Edward",Paris,"48.85341, 2.3488",Île-de-France,France,
1639,3,22,Seniors and conseniors of the Unity of Brethren in Greater Poland (fl. 1639),Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Leszczyński, Bogusław",Regensburg,"49.015, 12.09556",Bavaria,Germany,
1658,9,7,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1658,12,,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1663,5,28,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Púchov and Lednica, Priests and seniors in (fl. 1663)",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1664,12,23,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1665,3,4,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1667,1,20,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1667,7,12,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1668,3,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1669,1,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1669,4,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1670,2,18,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1670,5,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1670,11,2,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,
1649,2,11,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Efron, Jan Hranický",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,
1660,9,28,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Púchov, brothers in (fl. 1660)",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,
1640,4,15,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Bal de Hoczew, Johannes (fl. 1640)",Hoczew,"49.42449, 22.32473",Subcarpathian Voivodeship,Poland,
1640,10,6,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Bal de Hoczew, Johannes (fl. 1640)",Hoczew,"49.42449, 22.32473",Subcarpathian Voivodeship,Poland,
1655,6,,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Endter, Michael",Nuremberg,"49.44778, 11.06833",(Franconian Imperial Circle) Bavaria,Germany,
1656,9,1,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Harsdörffer, Georg Philip",Nuremberg,"49.44778, 11.06833",(Franconian Imperial Circle) Bavaria,Germany,
1657,1,25,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Harsdörffer, Georg Philip",Nuremberg,"49.44778, 11.06833",(Franconian Imperial Circle) Bavaria,Germany,
1664,4,2,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Frankenthal,"49.53722, 8.355",Rhineland-Palatinate,Germany,
1664,4,8,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Frankenthal,"49.53722, 8.355",Rhineland-Palatinate,Germany,
1623,8,18,"Komenský, Jan Amos and Brethren",Brandýs nad Orlicí,"50.00194, 16.28528",Bohemia,Bohemian Lands,"ze Žerotína, Karel starší",Brandýs nad Orlicí,"50.00194, 16.28528",Bohemia,Bohemian Lands,
1633,5,31,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Rybiński, Jan",Grębocin,"50.16194, 20.34273",Lesser Poland Voivodeship,Poland,
1661,9,8,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Vojt, Samuel",Herborn,"50.68333, 8.31667",Hesse,(Upper Rhenish Imperial Circle) Germany,
1661,9,11,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Vojt, Samuel",Herborn,"50.68333, 8.31667",Hesse,(Upper Rhenish Imperial Circle) Germany,
1660,7,26,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1661,9,27,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1661,12,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1662,8,22,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1662,10,4,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1663,2,20,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1663,10,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1663,11,6,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,5,22,"Komenský, Jan Amos and Brethren",Toruń,"53.01375, 18.59814",Kujawsko-Pomorskie,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,6,12,"Komenský, Jan Amos and Brethren",Toruń,"53.01375, 18.59814",Kujawsko-Pomorskie,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,8,28,"Komenský, Jan Amos and Brethren",Toruń,"53.01375, 18.59814",Kujawsko-Pomorskie,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,8,30,"Komenský, Jan Amos and Brethren",Toruń,"53.01375, 18.59814",Kujawsko-Pomorskie,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1644,9,6,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,4,6,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,6,26,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,7,5,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1645,11,18,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Kinner, Cyprian",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,
1630,1,,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Mentzel, Abraham",Zittau,"50.89772, 14.80764",Saxony,Holy Roman Empire (Germany),
1630,6,27,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Mentzel, Abraham",Zittau,"50.89772, 14.80764",Saxony,Holy Roman Empire (Germany),
1657,2,28,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Martin",Silesia,"51.0, 18.0",Poland,,
1658,8,23,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Bythner, Johannes",Silesia,"51.0, 18.0",Poland,,
1630,5,22,"Komenský, Jan Amos and Brethren",Olawa,"50.9466, 17.2926",Silesia,Bohemian Lands,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,
1637,12,22,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Breslau, City Council of (fl. 1637)",Wrocław,"51.1, 17.03333",(Silesia) Poland,Poland,
1632,9,22,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Moser, Martin",Złotoryja,"51.12637, 15.91979",Silesia,Bohemian Lands,
1663,2,19,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Schmettau, Heinrich",Legnica,"51.21006, 16.1619",Legnica Voivodeship,(Lower Silesia) Poland,
1666,11,16,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Legnica,"51.21006, 16.1619",Legnica Voivodeship,(Lower Silesia) Poland,
1666,11,16,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Legnica,"51.21006, 16.1619",Legnica Voivodeship,(Lower Silesia) Poland,
1668,1,31,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Legnica,"51.21006, 16.1619",Legnica Voivodeship,(Lower Silesia) Poland,
1646,5,24,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Culpeper, Cheney ~ Stoughton, Nicholas (fl. 1641-46) ~ Woodward, Hezekiah (fl. 1640-57)",Hollingbourne,"51.26772, 0.64287",Kent,England,
1650,8,5,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Colbovius, Petrus (fl.1650)",Leipzig,"51.33962, 12.37129",(Electoral Saxony) Saxony,Germany,
1657,7,19,"Komenský, Jan Amos and Brethren",Diez,"50.36667, 8.01667",Rhineland-Palatinate,(Lower Rhenish-Westphalian Imperial Circle) Germany,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1654,7,3,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1654,7,29,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1654,9,9,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1655,12,31,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1656,10,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,2,5,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,7,18,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,8,27,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,9,7,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,9,21,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,10,16,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,11,30,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,12,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,12,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1657,12,28,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1658,1,11,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1658,1,25,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1658,2,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1658,3,22,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1658,4,12,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1659,,,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel ~ Dury, John",Westminster,"51.5, -0.11667",London,England,
1660,2,6,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1660,9,24,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1660,12,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1661,1,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1661,5,26,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1661,10,21,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1661,11,27,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
